timestamp[ns],x[m/s^2],y[m/s^2],z[m/s^2]
865507125136222,9.955395,1.7526091,2.0973847
865507127137255,10.989721,0.2370332,-1.158829
865507129138288,10.989721,-0.102953814,-1.158829
865507131139321,11.07831,-0.17238778,-0.5219519
865507133140354,9.938635,-0.6057515,3.3495905
865507135141820,9.957788,-0.9217958,3.9864676
865507137142853,11.514068,-2.4014575,0.7541966
865507139144186,12.253899,-2.8539755,2.2673783
865507141145219,12.704022,-2.9473522,4.6664414
865507143146252,11.880392,-1.7430321,3.74704
865507145146585,10.683254,0.50998056,2.3224466
865507147147618,10.953807,2.578634,-3.4908526
865507149148218,10.544386,2.7917244,-2.9904492
865507151149251,10.161303,0.84996754,-3.1317115
865507153146651,10.173274,0.043096945,-2.80609
865507155147684,9.833286,-0.60335726,-0.74701375
865507157148717,8.813326,-0.7206767,4.216318
865507159150050,8.277008,-0.31125572,5.31529
865507161151383,7.798153,0.8284191,0.9481328
865507163158149,7.0343795,2.0758362,-0.66800267
865507165159482,6.9003,2.7222905,-1.4581133
865507167160115,7.7718163,1.6161355,-3.294522
865507169161381,8.107015,0.52913475,-3.0814316
865507171162947,8.197997,-0.9984126,1.7645805
865507173164280,8.370385,-1.515576,3.2777622
865507175165646,9.3831625,-1.9585168,0.28252444
865507177171612,9.541185,-1.8795058,-1.9034485
865507179173278,10.194822,-1.8795058,-5.071074
865507181174644,11.564347,-1.6448668,-9.656111
865507183176010,11.851661,-1.673598,-8.8085375
865507185177343,10.807756,-1.3360053,-0.7877164
865507187178709,10.00328,-1.9393626,5.255433
865507189180042,10.182851,-2.4469488,3.1508656
865507191181375,10.027223,-3.0239692,-1.5802214
865507193182708,9.148524,-2.813273,-1.4485363
865507195183808,9.047964,-2.4900458,-1.1899546
865507197185441,8.28898,-1.7885233,0.59378016
865507199187107,9.158101,-2.0542877,-1.7837347
865507201188740,10.726351,-2.4110348,-3.2083282
865507203190406,11.463788,-2.7821474,-3.4573328
865507205191739,13.249917,-2.9760835,-2.248224
865507207193072,13.795812,-2.1931558,0.8930645
865507209194405,13.479767,-1.5826156,2.1931558
865507211195771,11.250697,-0.15562786,6.893117
865507213197071,10.245102,0.47167215,7.024802
865507215198737,9.2490835,2.3368123,-0.48124924
865507217201103,7.450983,2.516383,-1.8483802
865507219202436,7.450983,2.516383,-1.8483802
865507221203769,7.2762012,1.1827718,0.019154198
865507223199569,7.6257653,-1.4605076,-1.6017698
865507225200835,10.762265,-3.3304362,-1.0032011
865507227202201,19.42954,-9.071907,2.281744
865507229204001,19.42954,-10.211582,4.106181
865507231205401,24.20133,-10.644946,7.491686
865507233207467,24.902853,-8.9976845,16.814993
865507235209133,23.631493,-6.7446723,18.086351
865507237205833,19.42954,-3.9673133,5.897099
865507239206899,17.782278,-2.2937152,-0.5411061
865507241208199,16.120653,-0.9529214,-2.8084843
865507243209532,11.813352,1.3982565,-5.317684
865507245210865,7.685622,3.3136764,-4.4270144
865507247212198,4.4749,4.810098,-3.328042
865507249213531,3.2250881,5.439792,-1.4605076
865507251218031,0.45970076,7.2809896,-4.312089
865507253219397,-0.8092649,8.696006,-8.425453
865507255222730,-0.3902668,10.422278,-18.716045
865507257223796,2.6504622,5.89231,-24.888487
865507259224829,3.0359404,5.89231,-24.888487
865507261225862,5.00164,3.1341057,-6.241874
865507263226862,5.5140147,2.238647,9.064724
865507265228228,5.3966956,2.2673783,14.31058
865507267229561,6.0934296,2.8946784,16.204453
865507269230927,6.100612,3.8140798,13.510893
865507271235593,5.707951,4.436591,11.305766
865507273237259,3.9888618,4.905869,9.37598
865507275238259,2.9090438,4.680807,5.360781
865507277238892,3.3663504,3.677606,-1.0223553
865507279240558,3.6967604,3.1029801,-4.350397
865507281243091,4.008016,2.1811843,-6.6632667
865507283244557,4.6305275,1.9202085,-7.125362
865507285245990,6.2514515,2.2266755,-9.711179
865507287247323,7.5228114,2.152453,-9.407105
865507289248189,8.408693,1.9800652,-10.553964
865507291249489,8.442213,1.525153,-6.4573593
865507293250122,8.346442,0.6464542,-4.558699
865507295251455,7.9777236,0.4956149,-3.7254915
865507297253155,7.3815494,-0.54350036,-6.1484976
865507299254488,7.4030976,-1.036721,-7.1780357
865507301256154,7.5898514,-1.6161355,-7.4868975
865507303257487,7.5683026,-2.185973,-3.8092911
865507305259120,6.63693,-1.5179702,2.0758362
865507307260753,7.563514,-0.94573855,-2.176396
865507309262419,8.044764,-0.8834874,-4.355186
865507311260919,9.124581,-0.73743665,-8.346442
865507313262552,9.177256,-0.31604427,-7.6018224
865507315262218,8.667274,0.46927786,-2.126116
865507317267584,9.337671,0.94573855,-3.8188684
865507319269217,9.696813,1.089395,-3.4836698
865507321271350,10.537204,0.6440599,-1.647261
865507323272950,11.636175,-0.8379962,2.0758362
865507325276950,12.036019,-1.664021,4.278569
865507327278616,12.335304,-3.8140798,6.91706
865507329280249,13.2858305,-4.0894213,4.3264546
865507331278549,14.238752,-4.35758,-0.52913475
865507333279882,17.298635,-5.011217,-3.6392977
